"","location.agg","lon","lat","V4"
"AE-DU",4,55.402868,24.9821547,"AE-DU"
"AR-B",395,-91.8318334,35.20105,"AR-B"
"AR-C",51,-91.8318334,35.20105,"AR-C"
"AT-4",989,13.9723665,48.025854,"AT-4"
"AU-NSW",2471,146.921099,-31.2532183,"AU-NSW"
"BA-SRP",600,17.3148136,44.7280186,"BA-SRP"
"BD-C",539,90.356331,23.684994,"BD-C"
"BE-BRU",522,4.3517211,50.8503463,"BE-BRU"
"BG-24",44,25.6344855,42.4257709,"BG-24"
"BR-PR",1023,-52.0215415,-25.2520888,"BR-PR"
"BR-RJ",1990,-42.7076107,-22.3534263,"BR-RJ"
"BR-RN",403,-36.954107,-5.4025803,"BR-RN"
"BR-SP",917,-46.6291845,-23.5431786,"BR-SP"
"BY-HM",2,-95.5078696,29.7049975,"BY-HM"
"CA-AB",81,-116.5765035,53.9332706,"CA-AB"
"CA-BC",1047,-127.6476206,53.7266683,"CA-BC"
"CA-ON",1358,-85.3232139,51.253775,"CA-ON"
"CA-QC",294,-73.5491361,52.9399159,"CA-QC"
"CH-GE",749,6.1216925,46.2180073,"CH-GE"
"CH-ZH",1232,8.6356452,47.359536,"CH-ZH"
"CN-11",432,116.407395,39.904211,"CN-11"
"CN-32",504,118.763232,32.061707,"CN-32"
"CN-37",110,117.020359,36.66853,"CN-37"
"CO-VAC",338,-76.6412712,3.8008893,"CO-VAC"
"CR-SJ",453,-84.0768294,9.9129727,"CR-SJ"
"DE-BE",1334,4.469936,50.503887,"DE-BE"
"DE-BW",196,9.3501336,48.6616037,"DE-BW"
"DE-BY",1000,11.4978895,48.7904472,"DE-BY"
"DE-HH",55,5.9970744,51.1485746,"DE-HH"
"DE-NW",373,7.6615938,51.4332367,"DE-NW"
"DK-84",339,22.4440568,49.4771228,"DK-84"
"EG-ALX",5,29.6962677,30.7622959,"EG-ALX"
"ES-AN",1326,-4.7277528,37.5442706,"ES-AN"
"ES-AS",59,-5.8593267,43.3613953,"ES-AS"
"ES-CT",517,1.5208624,41.5911589,"ES-CT"
"ES-MD",1588,-3.7038322,40.4167515,"ES-MD"
"ES-NA",328,-1.6760691,42.6953909,"ES-NA"
"ES-PV",28,-2.6189273,42.9896248,"ES-PV"
"FI-11",339,23.7895598,61.6986918,"FI-11"
"FI-18",514,25.2716209,60.21872,"FI-18"
"FI-19",266,22.4439369,60.3627914,"FI-19"
"FR-59",35,3.2642436,50.3851246,"FR-59"
"FR-63",51,3.0155825,45.7124142,"FR-63"
"FR-E",667,-2.9326435,48.2020471,"FR-E"
"FR-J",72,2.213749,46.227638,"FR-J"
"GB-ENG",1492,-1.1743197,52.3555177,"GB-ENG"
"GB-SCT",1092,-4.2026458,56.4906712,"GB-SCT"
"GH-AA",55,0.0746767,5.8142836,"GH-AA"
"GH-AH",886,-1.5208624,6.7470436,"GH-AH"
"GH-WP",4,-2.1450245,5.3901978,"GH-WP"
"GR-B",34,21.824312,39.074208,"GR-B"
"GR-I",753,21.824312,39.074208,"GR-I"
"HU-BU",1474,19.0652774,47.4763392,"HU-BU"
"HU-CS",53,20.2566161,46.416705,"HU-CS"
"ID-JK",213,106.822745,-6.1744651,"ID-JK"
"IE-L",29,-8.24389,53.41291,"IE-L"
"IL-M",1895,-89.3985283,40.6331249,"IL-M"
"IL-TA",1521,-97.8469937,30.187288,"IL-TA"
"IN-AP",429,79.7399875,15.9128998,"IN-AP"
"IN-DL",3321,77.1024902,28.7040592,"IN-DL"
"IN-GJ",47,-108.5506486,39.0638705,"IN-GJ"
"IN-HR",600,15.2,45.1,"IN-HR"
"IN-KA",7226,75.7138884,15.3172775,"IN-KA"
"IN-KL",468,101.686855,3.139003,"IN-KL"
"IN-MH",2713,75.7138884,19.7514798,"IN-MH"
"IN-MP",17,78.6568942,22.9734229,"IN-MP"
"IN-OR",84,85.0985236,20.9516658,"IN-OR"
"IN-PB",307,-117.2355851,32.8024577,"IN-PB"
"IN-RJ",764,74.2179326,27.0238036,"IN-RJ"
"IN-TN",649,-86.5804473,35.5174913,"IN-TN"
"IN-UP",2016,80.9461592,26.8467088,"IN-UP"
"IT-34",71,11.690976,45.7623333,"IT-34"
"IT-45",352,11.2186396,44.5967607,"IT-45"
"IT-62",632,12.989615,41.6552418,"IT-62"
"JP-13",576,139.6917064,35.6894875,"JP-13"
"KR-11",106,126.9779692,37.566535,"KR-11"
"KR-41",405,127.5183,37.4138,"KR-41"
"LS-A",48,28.233608,-29.609988,"LS-A"
"LT-KU",908,23.9525736,54.9872863,"LT-KU"
"MA-05",138,-4.2333355,33.1870471,"MA-05"
"MK-13",1155,21.7137694,41.7274426,"MK-13"
"MX-BCN",222,-115.2837585,30.8406338,"MX-BCN"
"MX-DIF",366,-99.1013498,19.2464696,"MX-DIF"
"MX-JAL",106,-103.3494376,20.6595382,"MX-JAL"
"NG-LA",27,3.5407909,6.5232765,"NG-LA"
"NG-NA",5,8.3088441,8.5705151,"NG-NA"
"NG-NI",8,5.3939551,10.2155388,"NG-NI"
"NG-OG",174,3.2583626,6.9098333,"NG-OG"
"NL-UT",91,5.1943653,52.119508,"NL-UT"
"NL-ZH",8,4.4937836,52.0207975,"NL-ZH"
"NP-1",35,85.2722472,27.4695853,"NP-1"
"NZ-AUK",65,174.5222189,-36.7422814,"NZ-AUK"
"NZ-WGN",213,175.4375574,-41.0299323,"NZ-WGN"
"OM-MA",652,58.3828798,23.5880462,"OM-MA"
"PE-ARE",367,-71.5370896,-16.3987488,"PE-ARE"
"PK-IS",133,69.345116,30.375321,"PK-IS"
"PK-PB",30,72.7097161,31.1704063,"PK-PB"
"PL-LD",4,19.1726974,51.4634771,"PL-LD"
"PL-MA",171,20.2503359,49.7225306,"PL-MA"
